,0,class_label,target_label
248,0.785,0,1
249,0.78,0,1
250,0.74,0,1
251,0.373,0,1
252,0.826,0,1
253,0.667,0,1
254,0.786,0,1
255,0.834,0,1
256,0.222,0,1
257,0.811,0,1
258,0.57,0,1
259,0.688,0,1
260,0.519,0,1
261,0.68,0,1
262,0.202,0,1
263,0.813,0,1
264,0.547,0,1
265,0.58,0,1
266,0.732,0,1
267,0.399,0,1
268,0.564,0,1
269,0.772,0,1
270,0.497,0,1
271,0.924,0,1
272,0.464,0,1
273,0.357,0,1
274,0.739,0,1
275,0.209,0,1
276,0.927,0,1
277,0.727,0,1
278,0.858,0,1
279,0.454,0,1
280,0.838,0,1
281,0.563,0,1
282,0.003,0,1
283,0.798,0,1
284,0.681,0,1
285,0.945,0,1
286,0.717,0,1
287,0.149,0,1
288,0.136,0,1
289,0.0,1,1
290,0.522,0,1
291,0.824,0,1
292,0.459,0,1
293,0.579,0,1
294,0.583,0,1
295,0.735,0,1
296,0.945,0,1
297,0.641,0,1
298,0.511,0,1
299,0.81,0,1
300,0.482,0,1
301,0.887,0,1
302,0.961,0,1
303,0.596,0,1
304,0.213,0,1
305,0.624,0,1
306,0.768,0,1
307,0.337,0,1
308,0.316,0,1
309,0.609,0,1
310,0.899,0,1
311,0.582,0,1
312,0.332,0,1
313,0.119,0,1
314,0.493,0,1
315,0.424,0,1
316,0.656,0,1
317,0.066,0,1
318,0.846,0,1
319,0.127,0,1
320,0.651,0,1
321,0.776,0,1
322,0.772,0,1
323,0.799,0,1
324,0.64,0,1
325,0.837,0,1
326,0.779,0,1
327,0.258,0,1
328,0.892,0,1
329,0.821,0,1
330,0.752,0,1
331,0.833,0,1
332,0.731,0,1
333,0.635,0,1
334,0.903,0,1
335,0.565,0,1
336,0.545,0,1
337,0.111,0,1
338,0.855,0,1
339,0.498,0,1
340,0.356,0,1
341,0.437,0,1
342,0.752,0,1
343,0.436,0,1
344,0.205,0,1
345,0.829,0,1
346,0.965,0,1
347,0.241,0,1
348,0.425,0,1
349,0.888,0,1
350,0.652,0,1
351,0.815,0,1
352,0.094,0,1
353,0.882,0,1
354,0.699,0,1
355,0.777,0,1
356,0.914,0,1
357,0.626,0,1
358,0.837,0,1
359,0.901,0,1
360,0.728,0,1
361,0.244,0,1
362,0.072,0,1
363,0.77,0,1
364,0.458,0,1
365,0.754,0,1
366,0.031,0,1
367,0.854,0,1
368,0.894,0,1
369,0.815,0,1
370,0.544,0,1
371,0.392,0,1
372,0.657,0,1
373,0.568,0,1
374,0.805,0,1
375,0.558,0,1
376,0.256,0,1
377,0.604,0,1
378,0.613,0,1
379,0.158,0,1
380,0.015,0,1
381,0.959,0,1
382,0.822,0,1
383,0.754,0,1
384,0.428,0,1
385,0.389,0,1
386,0.799,0,1
