score,taget
0.652,1.0
0.501,1.0
0.578,1.0
0.69,1.0
0.789,1.0
1.0,1.0
0.784,1.0
0.53,1.0
0.5,1.0
0.98,1.0
1.0,1.0
0.612,1.0
0.881,1.0
0.907,1.0
0.14,1.0
0.425,1.0
0.431,1.0
0.885,1.0
0.251,1.0
0.466,1.0
1.0,1.0
0.548,1.0
0.745,1.0
0.642,1.0
0.915,1.0
0.135,1.0
0.942,1.0
0.795,1.0
0.341,1.0
0.781,1.0
0.854,1.0
0.632,1.0
0.76,1.0
0.788,1.0
0.505,1.0
0.263,1.0
0.986,1.0
0.985,1.0
0.814,1.0
0.304,1.0
0.398,1.0
0.572,1.0
0.529,1.0
0.719,1.0
0.53,1.0
0.389,1.0
1.0,1.0
0.291,1.0
0.76,1.0
0.759,1.0
1.0,1.0
0.66,1.0
0.817,1.0
0.938,1.0
0.931,1.0
0.755,1.0
0.316,1.0
0.879,1.0
0.98,1.0
0.863,1.0
0.315,1.0
0.999,1.0
0.902,1.0
0.694,1.0
1.0,1.0
1.0,1.0
0.946,1.0
0.612,1.0
0.23,1.0
0.499,1.0
0.808,1.0
0.392,1.0
0.984,1.0
0.957,1.0
0.542,1.0
1.0,1.0
0.682,1.0
0.415,1.0
0.95,1.0
0.976,1.0
0.603,1.0
0.624,1.0
0.989,1.0
1.0,1.0
1.0,1.0
0.485,1.0
0.331,1.0
0.532,1.0
0.864,1.0
0.779,1.0
0.845,1.0
0.287,1.0
0.64,1.0
0.906,1.0
0.969,1.0
0.441,1.0
0.579,1.0
0.727,1.0
0.536,1.0
0.538,1.0
0.368,1.0
0.243,1.0
0.313,1.0
0.575,1.0
0.986,1.0
0.583,1.0
0.19,1.0
0.695,1.0
0.823,1.0
0.976,1.0
0.921,1.0
0.893,1.0
0.452,1.0
0.953,1.0
0.684,1.0
1.0,1.0
0.276,1.0
0.461,1.0
0.637,1.0
0.478,1.0
0.791,1.0
0.534,1.0
0.832,1.0
1.0,1.0
0.833,1.0
0.861,1.0
0.684,1.0
0.864,1.0
0.542,1.0
0.957,1.0
0.291,1.0
0.244,1.0
0.767,0.0
0.92,0.0
1.0,0.0
1.0,0.0
0.559,0.0
0.682,0.0
0.677,0.0
0.174,0.0
0.548,0.0
0.539,0.0
0.583,0.0
0.591,0.0
0.0,0.0
0.881,0.0
0.2,0.0
0.513,0.0
0.611,0.0
0.512,0.0
0.539,0.0
0.314,0.0
0.92,0.0
0.781,0.0
0.7,0.0
0.943,0.0
0.5,0.0
0.723,0.0
0.485,0.0
1.0,0.0
0.847,0.0
0.327,0.0
0.789,0.0
0.789,0.0
0.595,0.0
0.173,0.0
0.0,0.0
0.947,0.0
0.84,0.0
0.693,0.0
0.0,0.0
0.0,0.0
0.668,0.0
0.353,0.0
0.499,0.0
0.945,0.0
0.879,0.0
0.0,0.0
0.545,0.0
1.0,0.0
0.94,0.0
0.485,0.0
0.564,0.0
0.839,0.0
0.56,0.0
0.366,0.0
0.276,0.0
0.79,0.0
0.258,0.0
0.957,0.0
0.363,0.0
1.0,0.0
0.875,0.0
0.54,0.0
0.905,0.0
0.0,0.0
0.643,0.0
0.9,0.0
0.358,0.0
0.267,0.0
1.0,0.0
0.365,0.0
0.0,0.0
0.617,0.0
0.978,0.0
0.0,0.0
0.294,0.0
0.497,0.0
0.0,0.0
0.467,0.0
1.0,0.0
0.825,0.0
0.624,0.0
0.279,0.0
0.543,0.0
0.968,0.0
0.762,0.0
1.0,0.0
0.699,0.0
0.625,0.0
0.718,0.0
0.737,0.0
0.868,0.0
0.784,0.0
0.895,0.0
1.0,0.0
0.555,0.0
0.0,0.0
0.555,0.0
0.983,0.0
0.411,0.0
0.291,0.0
0.533,0.0
0.836,0.0
0.738,0.0
0.0,0.0
0.984,0.0
0.123,0.0
0.689,0.0
0.31,0.0
0.953,0.0
1.0,0.0
0.843,0.0
0.596,0.0
1.0,0.0
0.547,0.0
0.606,0.0
0.482,0.0
0.735,0.0
0.518,0.0
0.301,0.0
0.0,0.0
0.443,0.0
0.609,0.0
0.713,0.0
1.0,0.0
0.696,0.0
0.529,0.0
0.907,0.0
0.858,0.0
0.78,0.0
0.0,0.0
0.595,0.0
0.757,0.0
0.885,0.0
0.0,0.0
0.27,0.0
0.895,0.0
0.118,0.0
0.616,0.0
0.959,0.0
0.932,0.0
0.381,0.0
0.766,0.0
1.0,0.0
0.472,0.0
0.502,0.0
0.0,0.0
0.535,0.0
0.0,0.0
1.0,0.0
0.974,0.0
0.519,0.0
0.947,0.0
0.625,0.0
0.954,0.0
0.979,0.0
1.0,0.0
0.847,0.0
0.594,0.0
0.796,0.0
0.887,0.0
0.996,0.0
0.703,0.0
0.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.663,0.0
0.0,0.0
0.739,0.0
0.0,0.0
0.983,0.0
0.747,0.0
0.49,0.0
0.975,0.0
0.945,0.0
0.641,0.0
0.799,0.0
0.27,0.0
0.882,0.0
0.622,0.0
0.602,0.0
0.571,0.0
0.718,0.0
0.96,0.0
0.134,0.0
0.961,0.0
0.71,0.0
0.479,0.0
0.538,0.0
0.29,0.0
0.919,0.0
0.273,0.0
0.587,0.0
0.705,0.0
0.293,0.0
0.259,0.0
0.144,0.0
0.106,0.0
0.161,0.0
1.0,0.0
0.805,0.0
0.992,0.0
0.757,0.0
0.864,0.0
0.31,0.0
0.0,0.0
0.531,0.0
0.251,0.0
0.0,0.0
0.708,0.0
0.565,0.0
0.54,0.0
0.526,0.0
0.46,0.0
0.506,0.0
0.688,0.0
1.0,0.0
0.73,0.0
0.511,0.0
0.679,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.916,0.0
0.987,0.0
0.463,0.0
0.996,0.0
0.821,0.0
1.0,0.0
0.0,0.0
0.3,0.0
0.333,0.0
1.0,0.0
0.841,0.0
0.945,0.0
0.974,0.0
0.0,0.0
1.0,0.0
0.701,0.0
0.999,0.0
0.728,0.0
0.373,0.0
0.452,0.0
1.0,0.0
0.956,0.0
0.726,0.0
0.6,0.0
0.516,0.0
0.515,0.0
0.433,0.0
0.272,0.0
1.0,0.0
0.643,0.0
0.144,0.0
1.0,0.0
0.212,0.0
0.0,0.0
0.817,0.0
0.0,0.0
0.811,0.0
1.0,0.0
0.662,0.0
0.441,0.0
0.505,0.0
0.789,0.0
0.721,0.0
1.0,0.0
0.507,0.0
0.311,0.0
0.52,0.0
0.424,0.0
0.342,0.0
0.886,0.0
0.443,0.0
0.671,0.0
0.984,0.0
0.287,0.0
0.801,0.0
0.828,0.0
0.0,0.0
0.761,0.0
0.798,0.0
0.828,0.0
0.835,0.0
0.0,0.0
1.0,0.0
0.979,0.0
0.249,0.0
0.673,0.0
0.755,0.0
0.926,0.0
0.521,0.0
0.0,0.0
0.93,0.0
0.994,0.0
1.0,0.0
0.403,0.0
0.454,0.0
0.263,0.0
0.465,0.0
0.521,0.0
0.487,0.0
0.167,0.0
0.171,0.0
0.971,0.0
0.477,0.0
0.468,0.0
0.838,0.0
0.0,0.0
0.827,0.0
0.287,0.0
0.589,0.0
0.856,0.0
0.938,0.0
0.882,0.0
0.95,0.0
1.0,0.0
0.856,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
0.329,0.0
0.345,0.0
0.9,0.0
0.444,0.0
0.474,0.0
0.339,0.0
0.6,0.0
0.347,0.0
0.319,0.0
0.0,0.0
0.677,0.0
0.819,0.0
1.0,0.0
0.066,0.0
0.861,0.0
0.719,0.0
0.16,0.0
1.0,0.0
0.646,0.0
0.543,0.0
0.744,0.0
0.635,0.0
1.0,0.0
0.456,0.0
0.367,0.0
0.21,0.0
0.587,0.0
1.0,0.0
0.892,0.0
0.89,0.0
0.667,0.0
0.545,0.0
0.0,0.0
0.963,0.0
0.589,0.0
0.241,0.0
1.0,0.0
0.939,0.0
0.23,0.0
0.836,0.0
0.796,0.0
1.0,0.0
1.0,0.0
0.901,0.0
1.0,0.0
0.319,0.0
0.477,0.0
1.0,0.0
0.967,0.0
1.0,0.0
0.345,0.0
0.917,0.0
0.809,0.0
1.0,0.0
0.912,0.0
0.955,0.0
0.637,0.0
0.356,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.693,0.0
0.825,0.0
1.0,0.0
0.0,0.0
0.517,0.0
1.0,0.0
1.0,0.0
0.86,0.0
0.929,0.0
0.775,0.0
0.527,0.0
0.0,0.0
0.739,0.0
0.477,0.0
0.391,0.0
1.0,0.0
0.348,0.0
0.994,0.0
0.823,0.0
0.876,0.0
0.488,0.0
0.914,0.0
0.0,0.0
0.304,0.0
0.49,0.0
1.0,0.0
0.973,0.0
1.0,0.0
0.339,0.0
1.0,0.0
0.581,0.0
0.959,0.0
0.613,0.0
0.695,0.0
0.484,0.0
0.0,0.0
0.0,0.0
0.862,0.0
0.888,0.0
0.505,0.0
0.0,0.0
0.404,0.0
0.756,0.0
0.0,0.0
0.394,0.0
1.0,0.0
0.827,0.0
0.47,0.0
0.809,0.0
0.991,0.0
0.542,0.0
0.335,0.0
0.516,0.0
0.519,0.0
1.0,0.0
0.105,0.0
0.761,0.0
0.904,0.0
0.431,0.0
0.364,0.0
0.549,0.0
1.0,0.0
0.837,0.0
1.0,0.0
0.989,0.0
0.729,0.0
0.616,0.0
0.751,0.0
1.0,0.0
0.636,0.0
0.918,0.0
0.668,0.0
0.816,0.0
0.79,0.0
0.918,0.0
0.756,0.0
0.308,0.0
0.804,0.0
0.507,0.0
0.873,0.0
0.969,0.0
0.975,0.0
0.712,0.0
0.592,0.0
0.174,0.0
1.0,0.0
0.95,0.0
1.0,0.0
0.995,0.0
0.652,0.0
0.67,0.0
0.95,0.0
0.536,0.0
0.238,0.0
0.433,0.0
0.905,0.0
0.0,0.0
0.678,0.0
0.992,0.0
0.0,0.0
0.0,0.0
0.991,0.0
0.423,0.0
0.942,0.0
0.855,0.0
0.0,0.0
0.669,0.0
0.392,0.0
0.237,0.0
0.498,0.0
1.0,0.0
0.714,0.0
0.0,0.0
0.722,0.0
1.0,0.0
0.266,0.0
0.247,0.0
0.53,0.0
0.491,0.0
0.757,0.0
0.858,0.0
0.492,0.0
0.606,0.0
0.0,0.0
0.984,0.0
0.485,0.0
1.0,0.0
0.377,0.0
1.0,0.0
0.638,0.0
0.789,0.0
0.793,0.0
1.0,0.0
0.341,0.0
0.311,0.0
0.586,0.0
1.0,0.0
1.0,0.0
0.794,0.0
0.418,0.0
0.869,0.0
0.768,0.0
0.33,0.0
0.83,0.0
0.661,0.0
0.949,0.0
0.792,0.0
0.945,0.0
0.39,0.0
0.0,0.0
1.0,0.0
0.538,0.0
0.164,0.0
0.288,0.0
0.928,0.0
0.499,0.0
0.783,0.0
0.427,0.0
0.513,0.0
0.0,0.0
0.785,0.0
1.0,0.0
0.045,0.0
